%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82191.121,300.47,0.953,0,-0.016,-0.008,-6.053,-4.124,-3.099,-2.088,-1.727,-5.085,-5.766,-5.243,-2.903,-2.709,0.106,-5.841,-0.105,-1.463,-2.488,-4.39,-0.006,-0.043,0.025,0.001,535.048,336.269
82195.152,300.474,0.953,0,-0.016,0.152,-6.593,-3.901,-1.924,-2.61,-1.727,-4.358,-5.766,-5.35,-3.126,-1.459,0.739,-5.841,1.466,-2.09,-2.177,-3.827,0.004,-0.063,0.004,0.001,535.048,336.269
82195.152,300.47,0.953,0.364,0.063,-0.168,-6.917,-4.681,-2.138,-1.566,-1.835,-4.773,-5.339,-5.992,-2.679,-1.355,0.634,-5.947,0.838,-0.522,-3.006,-3.715,-0.017,-0.043,0.014,0.001,535.048,336.269
82191.121,300.469,0.953,0.364,0.063,0.312,-6.593,-4.904,-1.817,-1.044,-0.648,-4.877,-5.019,-5.243,-3.572,-1.25,0.528,-6.16,0.419,-1.672,-2.488,-4.277,-0.006,-0.005,0.025,-0.001,535.048,336.269
82187.089,300.472,0.953,0.364,0.063,-0.008,-6.809,-4.458,-2.886,-1.67,-1.403,-4.462,-4.912,-4.815,-2.903,-2.501,0.423,-5.841,0.733,-1.254,-2.488,-4.165,-0.006,-0.043,0.035,0,535.048,336.269
82191.121,300.47,0.953,0,-0.095,0.152,-6.593,-4.124,-2.565,-2.401,-1.619,-4.67,-5.552,-5.671,-2.679,-1.667,0,-5.841,1.361,-1.672,-2.488,-3.94,-0.006,-0.063,0.014,-0.001,535.048,336.269
82199.184,300.465,0.953,0,-0.016,-0.168,-6.377,-4.235,-2.138,-1.044,-1.943,-4.878,-5.339,-5.457,-2.903,-1.771,0.951,-6.053,0.628,-1.045,-3.109,-3.377,-0.006,-0.024,0.025,0.001,535.048,336.269
82195.152,300.47,0.953,0,-0.016,0.152,-6.161,-4.347,-2.459,-1.461,-1.295,-5.293,-5.125,-4.708,-2.903,-1.98,0.634,-5.629,0.838,-0.731,-1.866,-4.39,-0.006,-0.043,0.014,0.001,535.048,336.269
82183.058,300.469,0.953,0,-0.174,0.312,-5.945,-4.235,-2.672,-1.566,-1.511,-4.048,-5.552,-5.243,-3.014,-2.709,0.317,-5.522,0.733,-1.149,-2.28,-3.94,0.004,-0.005,0.025,0.001,535.048,336.269
82187.089,300.469,0.953,0.364,0.063,-0.008,-7.133,-4.235,-1.71,-2.714,-1.727,-5.086,-5.339,-4.815,-2.903,-1.563,0.423,-5.629,0.942,-1.358,-2.798,-3.49,-0.006,-0.024,0.014,0,535.048,336.269
